porosity£¨%£©,ED£¨gm/cc£©,LD£¨g/cm3£©,AOP£¨mm£©,S(%),Fe(%),Mn(%),FSP(cm),FT(cm),high(cm),C/N,NH3-Ninf(mg/L),TNinf(mg/L),T(¡æ),HRT£¨h£©,P£¨%£©,F£¨%£©,A£¨%£©,B£¨%£©,NH3-Nre(%),TNre(%)
46.4,2.19,2.17,4,0,0,0,17.5,20,70,4,41.76,41.76,22.5,24,36.65,18.26,6.7,16.86,81.42,66.52
46.4,2.19,2.17,9,0,0,0,300,50,40,7.64,30.56,40.28,20,72,46.81,5.6,8.68,1.86,85.98,58.23
46.4,2.19,2.17,5.5,0,0,0,325,650,700,2.71,29.69,33.34,14.4,82.45,36.24,2.16,12.94,9.31,37.6,33.7
40.96,2.65,2.65,5.5,0,0,0,325,650,700,2.71,29.69,33.34,14.4,82.45,25.27,9.94,12.94,5.97,26.7,25.6
43.6,2.71,2.7,15,0,0,0,25,30,60,2.5,25,40,25,72,29.78,0.94,12.94,9.68,36,35.23
46.4,2.19,2.17,15,0,0,0,25,30,60,2.5,25,40,25,72,37.24,3.25,12.94,10.37,45.73,47.33
54.4,4.84,5.01,15,53.45,46.55,0,25,30,60,2.5,25,40,25,72,36.24,2.16,12.94,9.31,45.44,60.53
48,2.61,2.6,3.5,0,0,0,25,30,55,5.92,23.56,30.58,28.3,72,28.91,2.39,22.84,3.69,89.8,65.21
48,2.61,2.6,11.5,0,0,0,25,30,55,5.92,23.56,30.58,28.3,72,43.7,0.86,20.14,2.43,87.1,77.56
42.61,2.69,2.68,8,0,0,0,22.5,250,50,11.13,24.36,26.5,23.95,72,36.83,18.5,6.92,17.14,73.34,64.44
45.08,2.71,2.71,2,0,0,0,15,20,60,2.56,25,39,25,72,25.27,9.94,12.94,5.97,72.62,66.45
45.7,2.32,2.3,40,0,0,0,30,40,60,18.5,2.35,3.6,25,72,44.47,1.01,3.16,8.36,70.21,78.56
43.6,2.71,2.7,4,0,0,0,37.5,55,100,17.31,20.63,32.34,25,48,52.56,3.63,4.94,6.25,98.69,63.98
44.3,2.58,2.57,8.35,0,0,0,35,60,70,6.1,21.4,41.6,23.95,82.45,33.17,2.69,14.68,9.56,91,94.7
46.4,2.19,2.17,8.35,0,0,0,35,60,70,3.26,28.2,31.6,23.95,82.45,62.11,2.04,19.33,9.2,94.55,56.7
46.4,2.19,2.17,8.35,0,0,0,35,60,70,2.43,9.6,22.5,23.95,82.45,83.43,6,27.15,9,96.7,28
46.4,2.19,2.17,8.35,0,0,0,35,60,70,3.34,41.6,41.9,23.95,82.45,60.59,1.39,14.58,10.4,83.7,86.4
43.96,2.7,2.69,26,0,0,0,27.5,55,70,0.56,83.37,130.53,16.4,82.45,47.16,5.34,12.94,16.57,33.74,36.63
43.96,2.7,2.69,26,0,0,0,27.5,55,70,0.56,83.37,130.53,16.4,82.45,36.55,4.58,12.94,10.73,45.68,30.8
43.6,2.71,2.7,28,0,0,0,225,350,500,7,20,25,23.95,72,67.88,15.03,1.5,13.68,47.29,33.08
43.6,2.71,2.7,20,0,27.71,0,225,350,500,7,20,25,23.95,72,67.88,15.03,1.5,13.68,47.63,41.63
54.4,4.84,5.01,20,53.45,46.55,0,35,70,120,3.69,4.7,10,23.15,72,66.8,5.58,12.94,7.6,83,78.9
54.4,4.84,5.01,20,53.45,46.55,0,35,70,120,2.85,7.4,19.6,23.15,72,73.3,5.58,12.94,4.9,67.2,59.7
40.96,2.65,2.65,20,0,0,0,35,20,70,4.53,23,32,21,82.45,60.59,1.39,14.58,10.4,47.04,48.95
43.6,2.71,2.7,15,0,0,0,250,350,500,7.98,17.92,21.29,23.95,72,35.08,2.27,0.79,28.6,56.4,53.85
43.6,2.71,2.7,15,0,19.6,0,250,350,500,7.98,17.92,21.29,23.95,72,35.08,2.27,0.79,28.6,66.98,71.26
43.6,2.71,2.7,15,0,0,0,250,350,500,7.98,17.92,21.29,23.95,72,35.08,2.27,0.79,28.6,43,45.24
42.44,2.39,2.38,27,0,0,0,32.5,65,80,10,15,20,23.95,82.45,35.66,3.7,12.94,8.61,42.83,52.54
43.6,2.71,2.7,20,0,0,0,45,65,80,6,27,28,25,120,25.56,5.64,12.94,0.33,94,74
50.4,3.52,3.59,5,26.73,23.28,0,32.5,55,60,3,5,10,22.5,26,56.15,4.75,9.56,2.76,95,53.68
45.08,2.71,2.71,12.5,0,0,0,35,70,120,4.68,3.97,8.1,25,72,66.8,4.95,7.8,7.6,85.8,75.2
45.08,2.71,2.71,12.5,0,0,0,35,70,120,2.72,7.42,20.99,25,72,66.8,5.03,7.8,7.6,68.7,48.3
49.74,3.78,3.86,12.5,26.73,23.28,0,35,70,120,4.68,3.97,8.1,25,72,73.3,5.03,7.6,4.9,83,78.9
49.74,3.78,3.86,12.5,26.73,23.28,0,35,70,120,2.72,7.42,20.99,25,72,73.3,5.15,7.6,4.9,67.2,59.7
40,2.71,2.7,9,0,0,0,30,40,50,4.44,35,45,25,120,71,5.31,3.3,4.9,48.49,52.76
40.96,2.65,2.65,20,0,0,0,32.5,55,60,2.27,25.38,42.57,25,72,57.96,0.61,20.98,8.82,56.38,32.35
44.04,4.14,4.36,20,0,48.24,0,32.5,55,60,2.27,25.38,42.57,25,72,60.59,1.39,14.58,10.4,75.77,32.35
40.96,2.65,2.65,20,0,0,0,32.5,55,60,4.49,25.29,43.74,25,72,57.96,0.61,20.98,8.82,79.2,49.37
44.04,4.14,4.36,20,0,48.24,0,32.5,55,60,4.49,25.29,43.74,25,72,60.59,1.39,14.58,10.4,96.4,54.43
40.96,2.65,2.65,20,0,0,0,32.5,55,60,7.27,25.18,43.8,25,72,57.96,0.61,20.98,8.82,86.22,58.81
44.04,4.14,4.36,20,0,48.24,0,32.5,55,60,7.27,25.18,43.8,25,72,60.59,1.39,14.58,10.4,100,69.09
43.6,2.71,2.7,20,49.29,0.46,0,37.5,55,65,5,40,40,25,72,25.27,9.94,12.94,5.97,95.04,33.12
44.04,4.14,4.36,20,36.18,0,0,37.5,55,65,5,40,40,25,72,60.59,1.39,14.58,10.4,97.54,40.72
43.6,2.71,2.7,20,49.29,0.46,0,37.5,55,65,1.76,40,45.95,25,72,36.55,3.35,12.94,10.73,98.4,43.42
44.04,4.14,4.36,20,36.18,0,0,37.5,55,65,1.76,40,45.95,25,72,60.59,1.39,14.58,10.4,98.6,43.6
36,3.42,3.47,20,32.86,0.31,0,35,50,60,3.49,13.33,13.57,21.9,20,79.02,2.16,1.69,1.89,77.58,48.61
36,3.42,3.47,20,32.86,0.31,0,35,50,60,3.49,13.33,13.57,21.9,20,83.61,3.75,12.94,0,58.74,56.28
47.2,3.42,3.47,20,32.86,0.31,0,35,50,60,2.48,18.15,20.93,21.9,20,65.54,3.73,2.23,4.17,96.33,54.16
47.2,3.42,3.47,20,32.86,0.31,0,35,50,60,2.48,18.15,20.93,21.9,20,81.83,3.15,12.94,0.64,87.81,45.96
45.3,2.67,2.64,24,50.27,0,0,50,80,90,10.52,14,21,25,48,35.66,3.7,12.94,8.61,83.33,84.5
43.51,2.34,2.33,10.7,53.86,1.24,0,60,80,100,5.98,6.44,9.4,25.5,216,35.66,3.7,12.94,8.61,83.7,59.6
43.51,2.34,2.33,10.7,53.86,1.24,0,60,80,100,5.98,6.44,9.4,25.5,216,35.66,3.7,12.94,8.61,79.4,57.3
43.51,2.34,2.33,10.7,53.86,1.24,0,60,80,100,5.98,6.44,9.4,25.5,216,35.66,3.7,12.94,8.61,69.7,48
43.51,2.34,2.33,10.7,53.86,1.24,0,60,80,100,5.98,6.44,9.4,25.5,216,35.66,3.7,12.94,8.61,57.6,63.4
43.51,2.34,2.33,10.7,53.86,1.24,0,60,80,100,5.98,6.44,9.4,25.5,216,35.66,3.7,12.94,8.61,50.2,58.6
43.51,2.34,2.33,10.7,53.86,1.24,0,60,80,100,5.98,6.44,9.4,25.5,216,35.66,3.7,12.94,8.61,36.1,49.1
46.4,2.19,2.17,3,54.16,1.86,0,22.5,35,40,0.55,286.26,412.84,23.95,168,60.59,1.39,14.58,10.4,95.72,97.7
43.81,2.19,2.69,20,49.41,0.4,0,37.5,25,25,6,33.96,33.96,25,5.76,67.88,15.03,1.5,13.68,34.09,26.02
43.81,2.71,2.69,20,49.41,0.4,0,37.5,25,25,3,34.04,34.04,25,5.76,44.91,6.98,0.98,29.78,42.54,26.95
43.81,2.71,2.69,20,49.41,0.4,0,37.5,25,25,1,33.65,33.65,25,5.76,42.87,4.95,1.46,31.28,49.41,33.69
43.81,2.71,2.69,20,49.41,0.4,0,42.5,75,80,5.34,50.16,55.58,25,72,62.11,2.04,19.33,9.2,98.2,91.61
43.6,2.71,2.7,20,49.29,0.46,0,42.5,75,80,5.34,50.16,55.58,25,72,25.27,9.94,12.94,5.97,89.87,84.1
43.6,2.71,2.7,35,49.29,0.46,0,50,60,80,8.42,29.9,39.6,25,67.2,25.27,9.94,12.94,5.97,28.5,33.6
44.4,2.69,2.67,35,49.75,0.22,0,40,60,70,8.42,29.9,39.6,25,76.8,39.83,15.67,20.4,9.41,47.5,47.2
44.9,2.68,2.65,35,50.04,0.11,0,40,60,70,8.42,29.9,39.6,25,110.4,25.27,9.94,12.94,5.97,60.6,55.6
45.3,2.67,2.64,35,50.27,0,0,40,60,70,8.42,29.9,39.6,25,108,25.27,9.94,12.94,5.97,66.5,61.9
59.45,3.34,3.41,35,41.52,0,0,30,60,60,8.42,29.9,39.6,25,74.4,79.02,2.16,1.69,1.89,69.9,62.3
60.84,3.25,3.3,3,41.74,0,0,15,30,33,3.31,9.5,29.1,24.7,24,57.45,2.13,2.13,10.64,74.74,94.1
43.74,2.71,2.7,3,49.37,0.42,0,15,30,33,3.31,9.5,29.1,24.7,24,46.81,2.13,2.13,12.77,61.05,70.86
43.74,2.71,2.7,35,49.37,0.42,0,35,65,70,2.96,23.2,24,30,24,41.89,1.9,1.9,11.42,48.3,39.2
43.74,2.71,2.7,35,49.37,0.42,0,35,65,70,2.96,23.2,24,30,24,41.89,1.9,1.9,11.42,47.4,39.6
43.13,2.47,2.46,35,52.51,0.93,0,35,65,70,2.96,23.2,24,30,24,66.8,0,12.94,7.6,46.1,40.4
