Porosity（%）,ED（gm/cc）,AOP(mm),S（%）,Fe（%）,Mn（%）,FSP(cm),High(cm),C/N,TNinf(mg/L),T(℃),HRT（h）,P(%),F(%),A(%),B(%),TNre(%)
46.4,2.19,4,0,0,0,17.5,70,4,41.76,22.5,24,36.65,18.26,6.7,16.86,66.52
46.4,2.19,5.5,0,0,0,325,700,2.71,33.34,14.4,82.45,36.24,2.16,12.94,9.31,33.7
40.96,2.65,5.5,0,0,0,325,700,2.71,33.34,14.4,82.45,25.27,9.94,12.94,5.97,25.6
43.6,2.71,15,0,0,0,25,60,2.5,40,25,72,29.78,0.94,12.94,9.68,35.23
46.4,2.19,15,0,0,0,25,60,2.5,40,25,72,37.24,3.25,12.94,10.37,47.33
54.4,4.84,15,53.45,46.55,0,25,60,2.5,40,25,72,36.24,2.16,12.94,9.31,60.53
48,2.61,3.5,0,0,0,25,55,5.92,30.58,28.3,72,28.91,2.39,22.84,3.69,65.21
48,2.61,11.5,0,0,0,25,55,5.92,30.58,28.3,72,43.7,0.86,20.14,2.43,77.56
45.08,2.71,2,0,0,0,15,60,2.56,39,25,72,25.27,9.94,12.94,5.97,66.45
45.7,2.32,40,0,0,0,30,60,18.5,3.6,25,72,44.47,1.01,3.16,8.36,78.56
43.6,2.71,4,0,0,0,37.5,100,17.31,32.34,25,48,52.56,3.63,4.94,6.25,63.98
44.3,2.58,8.35,0,0,0,35,70,6.1,41.6,23.95,82.45,33.17,2.69,14.68,9.56,94.7
46.4,2.19,8.35,0,0,0,35,70,3.26,31.6,23.95,82.45,62.11,2.04,19.33,9.2,56.7
46.4,2.19,8.35,0,0,0,35,70,3.34,41.9,23.95,82.45,60.59,1.39,14.58,10.4,86.4
43.96,2.7,26,0,0,0,27.5,70,0.56,130.53,16.4,82.45,47.16,5.34,12.94,16.57,36.63
43.96,2.7,26,0,0,0,27.5,70,0.56,130.53,16.4,82.45,36.55,4.58,12.94,10.73,30.8
43.6,2.71,28,0,0,0,225,500,7,25,23.95,72,67.88,15.03,1.5,13.68,33.08
